team_name,dist_bin,half,vol,goal_c,reb_c,recov_c,exit_c,freeze_c,xG_sum,goal_rate,reb_rate,recov_rate,exit_rate,freeze_rate,xG_rate,is_imputed,Entry_Value_Constant,FO_Equity_Constant,Exit_Penalty_Constant,reb_yield_constant
Arizona Coyotes,0-6 ft,Whole,27,4,0,9,4,7,3.3599882,0.1471655328798186,0.0072562358276643,0.3204081632653061,0.1609977324263038,0.254875283446712,0.1227819005555555,0,0.052072,0.02307,0.026036,0.09
Arizona Coyotes,12-18 ft,1st,86,8,4,18,29,21,8.1362602,0.0930232558139534,0.0465116279069767,0.2093023255813953,0.3372093023255814,0.2441860465116279,0.094607676744186,0,0.052072,0.02307,0.026036,0.09
Arizona Coyotes,12-18 ft,2nd,98,17,8,15,20,27,8.8614968,0.173469387755102,0.0816326530612244,0.1530612244897959,0.2040816326530612,0.2755102040816326,0.0904234367346938,0,0.052072,0.02307,0.026036,0.09
Arizona Coyotes,12-18 ft,Whole,184,25,12,33,49,48,16.997757,0.1358695652173913,0.0652173913043478,0.1793478260869565,0.266304347826087,0.2608695652173913,0.0923791141304347,0,0.052072,0.02307,0.026036,0.09
Arizona Coyotes,18-24 ft,1st,79,5,5,17,17,27,5.3367327,0.0632911392405063,0.0632911392405063,0.2151898734177215,0.2151898734177215,0.3417721518987341,0.0675535784810126,0,0.052072,0.02307,0.026036,0.09
Arizona Coyotes,18-24 ft,2nd,102,13,8,25,28,22,6.4663029,0.1274509803921568,0.0784313725490196,0.2450980392156862,0.2745098039215686,0.2156862745098039,0.0633951264705882,0,0.052072,0.02307,0.026036,0.09
Arizona Coyotes,18-24 ft,Whole,181,18,13,42,45,49,11.8030356,0.0994475138121546,0.0718232044198895,0.2320441988950276,0.2486187845303867,0.2707182320441988,0.065210141436464,0,0.052072,0.02307,0.026036,0.09
Arizona Coyotes,24-30 ft,1st,93,10,3,20,23,29,5.0567297,0.1075268817204301,0.032258064516129,0.2150537634408602,0.2473118279569892,0.3118279569892473,0.0543734376344086,0,0.052072,0.02307,0.026036,0.09
Arizona Coyotes,24-30 ft,2nd,129,7,15,28,31,37,6.86528398,0.0542635658914728,0.1162790697674418,0.2170542635658914,0.2403100775193798,0.2868217054263566,0.0532192556589147,0,0.052072,0.02307,0.026036,0.09
Arizona Coyotes,24-30 ft,Whole,222,17,18,48,54,66,11.92201368,0.0765765765765765,0.081081081081081,0.2162162162162162,0.2432432432432432,0.2972972972972973,0.0537027643243243,0,0.052072,0.02307,0.026036,0.09
Arizona Coyotes,30-36 ft,1st,86,7,3,15,25,24,3.22411212,0.0813953488372093,0.0348837209302325,0.1744186046511628,0.2906976744186046,0.2790697674418604,0.0374896758139534,0,0.052072,0.02307,0.026036,0.09
Arizona Coyotes,30-36 ft,2nd,119,11,4,33,25,35,5.83133685,0.0924369747899159,0.0336134453781512,0.2773109243697479,0.2100840336134453,0.2941176470588235,0.0490028306722689,0,0.052072,0.02307,0.026036,0.09
Arizona Coyotes,30-36 ft,Whole,205,18,7,48,50,59,9.05544897,0.0878048780487804,0.0341463414634146,0.2341463414634146,0.2439024390243902,0.2878048780487804,0.044172921804878,0,0.052072,0.02307,0.026036,0.09
Arizona Coyotes,36-42 ft,1st,93,3,5,21,20,34,2.37925301,0.032258064516129,0.053763440860215,0.2258064516129032,0.2150537634408602,0.3655913978494624,0.0255833656989247,0,0.052072,0.02307,0.026036,0.09
Arizona Coyotes,36-42 ft,2nd,105,4,9,27,27,28,2.69442866,0.0380952380952381,0.0857142857142857,0.2571428571428571,0.2571428571428571,0.2666666666666666,0.0256612253333333,0,0.052072,0.02307,0.026036,0.09
Arizona Coyotes,36-42 ft,Whole,198,7,14,48,47,62,5.07368167,0.0353535353535353,0.0707070707070707,0.2424242424242424,0.2373737373737373,0.3131313131313131,0.0256246548989899,0,0.052072,0.02307,0.026036,0.09
Arizona Coyotes,42-48 ft,1st,73,4,3,13,21,25,1.48225997,0.0547945205479452,0.0410958904109589,0.1780821917808219,0.2876712328767123,0.3424657534246575,0.0203049310958904,0,0.052072,0.02307,0.026036,0.09
Arizona Coyotes,42-48 ft,2nd,91,0,4,18,29,27,1.59884426,0.0,0.0439560439560439,0.1978021978021978,0.3186813186813186,0.2967032967032967,0.0175697171428571,0,0.052072,0.02307,0.026036,0.09
Arizona Coyotes,42-48 ft,Whole,164,4,7,31,50,52,3.08110423,0.024390243902439,0.0426829268292682,0.1890243902439024,0.3048780487804878,0.3170731707317073,0.0187872209146341,0,0.052072,0.02307,0.026036,0.09
Arizona Coyotes,48-54 ft,1st,78,3,3,16,18,30,1.09734761,0.0384615384615384,0.0384615384615384,0.2051282051282051,0.2307692307692307,0.3846153846153846,0.0140685591025641,0,0.052072,0.02307,0.026036,0.09
Arizona Coyotes,48-54 ft,2nd,78,0,2,21,18,31,1.15470472,0.0,0.0256410256410256,0.2692307692307692,0.2307692307692307,0.3974358974358974,0.0148039066666666,0,0.052072,0.02307,0.026036,0.09
