team_name,shooter_bin,rebound_bin,half,scaled_rebound_prob,is_imputed
Anaheim Ducks,36-42 ft,42-48 ft,2nd,0.0015474743008732177,0
Anaheim Ducks,36-42 ft,48-54 ft,2nd,0.001658008179507019,0
Anaheim Ducks,36-42 ft,54-60 ft,2nd,0.0022106775726760254,0
Anaheim Ducks,36-42 ft,6-12 ft,2nd,0.016137946280534984,0
Anaheim Ducks,36-42 ft,60-66 ft,2nd,0.0009948049077042114,0
Anaheim Ducks,36-42 ft,66-72 ft,2nd,0.0004421355145352051,0
Anaheim Ducks,36-42 ft,72-99 ft,2nd,0.0005526693931690063,0
Anaheim Ducks,36-42 ft,0-6 ft,Whole,0.002313253012048193,0
Anaheim Ducks,36-42 ft,12-18 ft,Whole,0.006939759036144578,0
Anaheim Ducks,36-42 ft,18-24 ft,Whole,0.003759036144578313,0
Anaheim Ducks,36-42 ft,24-30 ft,Whole,0.003566265060240964,0
Anaheim Ducks,36-42 ft,30-36 ft,Whole,0.001927710843373494,0
Anaheim Ducks,36-42 ft,36-42 ft,Whole,0.000963855421686747,0
Anaheim Ducks,36-42 ft,42-48 ft,Whole,0.0013493975903614457,0
Anaheim Ducks,36-42 ft,48-54 ft,Whole,0.0014457831325301205,0
Anaheim Ducks,36-42 ft,54-60 ft,Whole,0.001927710843373494,0
Anaheim Ducks,36-42 ft,6-12 ft,Whole,0.014072289156626505,0
Anaheim Ducks,36-42 ft,60-66 ft,Whole,0.0008674698795180722,0
Anaheim Ducks,36-42 ft,66-72 ft,Whole,0.00038554216867469883,0
Anaheim Ducks,36-42 ft,72-99 ft,Whole,0.0004819277108433735,0
Anaheim Ducks,42-48 ft,0-6 ft,1st,0.0012339150361360832,0
Anaheim Ducks,42-48 ft,12-18 ft,1st,0.009871320289088666,0
Anaheim Ducks,42-48 ft,18-24 ft,1st,0.00370174510840825,0
Anaheim Ducks,42-48 ft,24-30 ft,1st,0.003525471531817381,0
Anaheim Ducks,42-48 ft,30-36 ft,1st,0.0022915564956812974,0
Anaheim Ducks,42-48 ft,36-42 ft,1st,0.0010576414595452144,0
Anaheim Ducks,42-48 ft,42-48 ft,1st,0.0033491979552265115,0
Anaheim Ducks,42-48 ft,48-54 ft,1st,0.0026441036488630354,0
Anaheim Ducks,42-48 ft,54-60 ft,1st,0.0031729243786356425,0
Anaheim Ducks,42-48 ft,6-12 ft,1st,0.01974264057817733,0
Anaheim Ducks,42-48 ft,60-66 ft,1st,0.0022915564956812974,0
Anaheim Ducks,42-48 ft,66-72 ft,1st,0.00017627357659086903,0
Anaheim Ducks,42-48 ft,72-99 ft,1st,0.0007050943063634761,0
Anaheim Ducks,42-48 ft,0-6 ft,2nd,0.000894187779433681,0
Anaheim Ducks,42-48 ft,12-18 ft,2nd,0.007153502235469448,0
Anaheim Ducks,42-48 ft,18-24 ft,2nd,0.002682563338301043,0
Anaheim Ducks,42-48 ft,24-30 ft,2nd,0.0025548222269533745,0
Anaheim Ducks,42-48 ft,30-36 ft,2nd,0.0016606344475196932,0
Anaheim Ducks,42-48 ft,36-42 ft,2nd,0.0007664466680860123,0
Anaheim Ducks,42-48 ft,42-48 ft,2nd,0.0024270811156057058,0
Anaheim Ducks,42-48 ft,48-54 ft,2nd,0.0019161166702150309,0
Anaheim Ducks,42-48 ft,54-60 ft,2nd,0.002299340004258037,0
Anaheim Ducks,42-48 ft,6-12 ft,2nd,0.014307004470938895,0
Anaheim Ducks,42-48 ft,60-66 ft,2nd,0.0016606344475196932,0
Anaheim Ducks,42-48 ft,66-72 ft,2nd,0.00012774111134766872,0
Anaheim Ducks,42-48 ft,72-99 ft,2nd,0.0005109644453906749,0
Anaheim Ducks,42-48 ft,0-6 ft,Whole,0.0010800385728061716,0
Anaheim Ducks,42-48 ft,12-18 ft,Whole,0.008640308582449373,0
Anaheim Ducks,42-48 ft,18-24 ft,Whole,0.0032401157184185152,0
Anaheim Ducks,42-48 ft,24-30 ft,Whole,0.003085824493731919,0
Anaheim Ducks,42-48 ft,30-36 ft,Whole,0.002005785920925747,0
Anaheim Ducks,42-48 ft,36-42 ft,Whole,0.0009257473481195758,0
Anaheim Ducks,42-48 ft,42-48 ft,Whole,0.002931533269045323,0
Anaheim Ducks,42-48 ft,48-54 ft,Whole,0.0023143683702989393,0
Anaheim Ducks,42-48 ft,54-60 ft,Whole,0.0027772420443587273,0
Anaheim Ducks,42-48 ft,6-12 ft,Whole,0.017280617164898746,0
Anaheim Ducks,42-48 ft,60-66 ft,Whole,0.002005785920925747,0
Anaheim Ducks,42-48 ft,66-72 ft,Whole,0.00015429122468659594,0
Anaheim Ducks,42-48 ft,72-99 ft,Whole,0.0006171648987463838,0
Anaheim Ducks,48-54 ft,0-6 ft,1st,0.0009177318911832187,0
Anaheim Ducks,48-54 ft,12-18 ft,1st,0.0036053752867912163,0
Anaheim Ducks,48-54 ft,18-24 ft,1st,0.0018354637823664373,0
Anaheim Ducks,48-54 ft,24-30 ft,1st,0.0015732546705998034,0
Anaheim Ducks,48-54 ft,30-36 ft,1st,0.0007866273352999017,0
Anaheim Ducks,48-54 ft,36-42 ft,1st,0.0011799410029498525,0
Anaheim Ducks,48-54 ft,42-48 ft,1st,0.001376597836774828,0
Anaheim Ducks,48-54 ft,48-54 ft,1st,0.0009832841691248771,0
Anaheim Ducks,48-54 ft,54-60 ft,1st,0.0007210750573582432,0
Anaheim Ducks,48-54 ft,6-12 ft,1st,0.008521796132415603,0
