teamCode,dist_bin,primary_goal_prob,rebound_creation_prob,secondary_xg_yield
SEA,51-54 ft,0.0347222222222222,0.0625,0.17079010909642
SEA,54-57 ft,0.0333333333333333,0.025,0.1845545286144094
SEA,57-60 ft,0.0188679245283018,0.1037735849056603,0.1765286798608058
SEA,60-63 ft,0.0,0.0285714285714285,0.1719082293681414
SEA,63-66 ft,0.0,0.0,0.1767669198125004
SEA,66-69 ft,0.0,0.1,0.1536475609914699
SJS,0-6 ft,0.108695652173913,0.108695652173913,0.2442211456007594
SJS,6-9 ft,0.1038251366120218,0.1366120218579235,0.2244653060670102
SJS,9-12 ft,0.0816326530612244,0.1360544217687075,0.2149921337034213
SJS,12-15 ft,0.1159420289855072,0.108695652173913,0.2085985634944435
SJS,15-18 ft,0.0458715596330275,0.091743119266055,0.1955342241988078
SJS,18-21 ft,0.0551181102362204,0.0314960629921259,0.1911699597523295
SJS,21-24 ft,0.0763358778625954,0.0458015267175572,0.1959841844069211
SJS,24-27 ft,0.0700636942675159,0.0891719745222929,0.1955305279462044
SJS,27-30 ft,0.078125,0.046875,0.1918460044918295
SJS,30-33 ft,0.0652173913043478,0.072463768115942,0.1798510150158017
SJS,33-36 ft,0.053030303030303,0.0606060606060606,0.1758227303880538
SJS,36-39 ft,0.025,0.025,0.1892109722076919
SJS,39-42 ft,0.0163934426229508,0.0573770491803278,0.1821118261802267
SJS,42-45 ft,0.0373134328358208,0.0597014925373134,0.174613015840555
SJS,45-48 ft,0.0258620689655172,0.0344827586206896,0.1631306481548726
SJS,48-51 ft,0.032258064516129,0.053763440860215,0.184222685479716
SJS,51-54 ft,0.0194174757281553,0.0485436893203883,0.17079010909642
SJS,54-57 ft,0.0112359550561797,0.0786516853932584,0.1845545286144094
SJS,57-60 ft,0.0112359550561797,0.0898876404494382,0.1765286798608058
SJS,60-63 ft,0.0147058823529411,0.0147058823529411,0.1719082293681414
SJS,63-66 ft,0.0238095238095238,0.119047619047619,0.1767669198125004
SJS,66-69 ft,0.0,0.0,0.1536475609914699
STL,0-6 ft,0.1687898089171974,0.1560509554140127,0.2442211456007594
STL,6-9 ft,0.1596638655462184,0.1092436974789916,0.2244653060670102
STL,9-12 ft,0.1055900621118012,0.0683229813664596,0.2149921337034213
STL,12-15 ft,0.0866141732283464,0.0708661417322834,0.2085985634944435
STL,15-18 ft,0.0944881889763779,0.0393700787401574,0.1955342241988078
STL,18-21 ft,0.125,0.0666666666666666,0.1911699597523295
STL,21-24 ft,0.1623931623931624,0.0512820512820512,0.1959841844069211
STL,24-27 ft,0.0849056603773584,0.0283018867924528,0.1955305279462044
STL,27-30 ft,0.0884955752212389,0.0353982300884955,0.1918460044918295
STL,30-33 ft,0.0821917808219178,0.0342465753424657,0.1798510150158017
STL,33-36 ft,0.064516129032258,0.032258064516129,0.1758227303880538
STL,36-39 ft,0.0851063829787234,0.0638297872340425,0.1892109722076919
STL,39-42 ft,0.032520325203252,0.024390243902439,0.1821118261802267
STL,42-45 ft,0.0330578512396694,0.0909090909090909,0.174613015840555
STL,45-48 ft,0.0192307692307692,0.0576923076923076,0.1631306481548726
STL,48-51 ft,0.0172413793103448,0.0344827586206896,0.184222685479716
STL,51-54 ft,0.0217391304347826,0.0326086956521739,0.17079010909642
STL,54-57 ft,0.0094339622641509,0.0377358490566037,0.1845545286144094
STL,57-60 ft,0.0166666666666666,0.05,0.1765286798608058
STL,60-63 ft,0.0,0.05,0.1719082293681414
STL,63-66 ft,0.0142857142857142,0.0285714285714285,0.1767669198125004
STL,66-69 ft,0.0,0.0909090909090909,0.1536475609914699
TBL,0-6 ft,0.1687898089171974,0.1560509554140127,0.2442211456007594
TBL,6-9 ft,0.1656050955414012,0.0828025477707006,0.2244653060670102
TBL,9-12 ft,0.0971428571428571,0.1257142857142857,0.2149921337034213
TBL,12-15 ft,0.10828025477707,0.0764331210191082,0.2085985634944435
TBL,15-18 ft,0.0851063829787234,0.0780141843971631,0.1955342241988078
TBL,18-21 ft,0.0390625,0.078125,0.1911699597523295
